level,vertebral_number,approach,category,object,side,x,y,length,width,angle,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_enplate_inferior_body_y,inferior_endplate_superior_body_y
C6-C7,6.5,posterior,decompression,sublaminar_decompression,central,0.5,0.7915,,0.0084,,0.494,0.7898,0.506,0.779,,,,,,,,,,,,,,,,,,
C7-T1,7.5,posterior,decompression,sublaminar_decompression,central,0.5,0.77,,0.0084,,0.494,0.7698,0.506,0.756,,,,,,,,,,,,,,,,,,
T1-T2,8.5,posterior,decompression,sublaminar_decompression,central,0.5,0.749,,0.0084,,0.494,0.7464,0.506,0.732,,,,,,,,,,,,,,,,,,
T2-T3,9.5,posterior,decompression,sublaminar_decompression,central,0.5,0.726,,0.0084,,0.494,0.7232,0.506,0.71,,,,,,,,,,,,,,,,,,
T3-T4,10.5,posterior,decompression,sublaminar_decompression,central,0.5,0.7015,,0.0084,,0.494,0.6988,0.506,0.682,,,,,,,,,,,,,,,,,,
T4-T5,11.5,posterior,decompression,sublaminar_decompression,central,0.5,0.6735,,0.0084,,0.494,0.672,0.506,0.657,,,,,,,,,,,,,,,,,,
T5-T6,12.5,posterior,decompression,sublaminar_decompression,central,0.5,0.643,,0.0084,,0.494,0.6438,0.506,0.624,,,,,,,,,,,,,,,,,,
T6-T7,13.5,posterior,decompression,sublaminar_decompression,central,0.5,0.6115,,0.0084,,0.494,0.6108,0.506,0.591,,,,,,,,,,,,,,,,,,
T7-T8,14.5,posterior,decompression,sublaminar_decompression,central,0.5,0.5805,,0.0084,,0.494,0.579,0.506,0.561,,,,,,,,,,,,,,,,,,
T8-T9,15.5,posterior,decompression,sublaminar_decompression,central,0.5,0.5475,,0.0084,,0.494,0.5478,0.506,0.528,,,,,,,,,,,,,,,,,,
T9-T10,16.5,posterior,decompression,sublaminar_decompression,central,0.5,0.5135,,0.0084,,0.494,0.5152,0.506,0.496,,,,,,,,,,,,,,,,,,
T10-T11,17.5,posterior,decompression,sublaminar_decompression,central,0.5,0.4815,,0.0084,,0.494,0.4828,0.506,0.463,,,,,,,,,,,,,,,,,,
T11-T12,18.5,posterior,decompression,sublaminar_decompression,central,0.5,0.445,,0.0084,,0.494,0.4478,0.506,0.425,,,,,,,,,,,,,,,,,,
T12-L1,19.5,posterior,decompression,sublaminar_decompression,central,0.5,0.405,,0.0084,,0.494,0.4082,0.506,0.383,,,,,,,,,,,,,,,,,,
L1-L2,20.5,posterior,decompression,sublaminar_decompression,central,0.5,0.3685,,0.0084,,0.494,0.3694,0.506,0.349,,,,,,,,,,,,,,,,,,
L2-L3,21.5,posterior,decompression,sublaminar_decompression,central,0.5,0.333,,0.0084,,0.494,0.3354,0.506,0.315,,,,,,,,,,,,,,,,,,
L3-L4,22.5,posterior,decompression,sublaminar_decompression,central,0.5,0.296,,0.0112,,0.492,0.2986,0.508,0.274,,,,,,,,,,,,,,,,,,
L4-L5,23.5,posterior,decompression,sublaminar_decompression,central,0.5,0.2595,,0.014,,0.49,0.2596,0.51,0.238,,,,,,,,,,,,,,,,,,
L5-S1,24.5,posterior,decompression,sublaminar_decompression,central,0.5,0.225,,0.0168,,0.488,0.222,0.512,0.198,,,,,,,,,,,,,,,,,,
C2,2,posterior,implant,kyphoplasty,central,0.5,0.865,0.021,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,kyphoplasty,central,0.5,0.847,0.02,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,kyphoplasty,central,0.5,0.828,0.018,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,kyphoplasty,central,0.5,0.811,0.017,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,kyphoplasty,central,0.5,0.793,0.018,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,kyphoplasty,central,0.5,0.769,0.026,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,kyphoplasty,central,0.5,0.747,0.027,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,kyphoplasty,central,0.5,0.723,0.031,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,kyphoplasty,central,0.5,0.701,0.027,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,kyphoplasty,central,0.5,0.672,0.036,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,kyphoplasty,central,0.5,0.643,0.034,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,kyphoplasty,central,0.5,0.613,0.033,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,kyphoplasty,central,0.5,0.583,0.035,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,kyphoplasty,central,0.5,0.551,0.027,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,kyphoplasty,central,0.5,0.52,0.033,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,kyphoplasty,central,0.5,0.481,0.035,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,kyphoplasty,central,0.5,0.447,0.035,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,kyphoplasty,central,0.5,0.411,0.033,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,kyphoplasty,central,0.5,0.375,0.037,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,kyphoplasty,central,0.5,0.343,0.037,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,kyphoplasty,central,0.5,0.301,0.032,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,kyphoplasty,central,0.5,0.261,0.036,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,kyphoplasty,central,0.5,0.228,0.035,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,laminar_downgoing_hook,left,0.48,0.89,,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,laminar_downgoing_hook,left,0.48,0.874,,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,laminar_downgoing_hook,left,0.48,0.853,,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,laminar_downgoing_hook,left,0.48,0.836,,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,laminar_downgoing_hook,left,0.48,0.818,,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,laminar_downgoing_hook,left,0.48,0.8,,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,laminar_downgoing_hook,left,0.48,0.783,,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,laminar_downgoing_hook,left,0.48,0.757,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,laminar_downgoing_hook,left,0.48,0.735,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,laminar_downgoing_hook,left,0.48,0.711,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,laminar_downgoing_hook,left,0.48,0.683,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,laminar_downgoing_hook,left,0.48,0.655,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,laminar_downgoing_hook,left,0.48,0.625,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,laminar_downgoing_hook,left,0.48,0.591,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,laminar_downgoing_hook,left,0.48,0.561,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,laminar_downgoing_hook,left,0.48,0.527,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,laminar_downgoing_hook,left,0.48,0.491,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,laminar_downgoing_hook,left,0.48,0.46,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,laminar_downgoing_hook,left,0.48,0.42,,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,laminar_downgoing_hook,left,0.48,0.38,,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,laminar_downgoing_hook,left,0.48,0.348,,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,laminar_downgoing_hook,left,0.48,0.31,,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,laminar_downgoing_hook,left,0.48,0.27,,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,laminar_downgoing_hook,left,0.48,0.235,,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,laminar_downgoing_hook,right,0.52,0.89,,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,laminar_downgoing_hook,right,0.52,0.874,,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,laminar_downgoing_hook,right,0.52,0.853,,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,laminar_downgoing_hook,right,0.52,0.836,,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,laminar_downgoing_hook,right,0.52,0.818,,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,laminar_downgoing_hook,right,0.52,0.8,,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,laminar_downgoing_hook,right,0.52,0.783,,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,laminar_downgoing_hook,right,0.52,0.757,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,laminar_downgoing_hook,right,0.52,0.735,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,laminar_downgoing_hook,right,0.52,0.711,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,laminar_downgoing_hook,right,0.52,0.683,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,laminar_downgoing_hook,right,0.52,0.655,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,laminar_downgoing_hook,right,0.52,0.625,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,laminar_downgoing_hook,right,0.52,0.591,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,laminar_downgoing_hook,right,0.52,0.561,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,laminar_downgoing_hook,right,0.52,0.527,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,laminar_downgoing_hook,right,0.52,0.491,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,laminar_downgoing_hook,right,0.52,0.46,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,laminar_downgoing_hook,right,0.52,0.42,,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,laminar_downgoing_hook,right,0.52,0.38,,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,laminar_downgoing_hook,right,0.52,0.348,,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,laminar_downgoing_hook,right,0.52,0.31,,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,laminar_downgoing_hook,right,0.52,0.27,,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,laminar_downgoing_hook,right,0.52,0.235,,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,laminar_upgoing_hook,left,0.48,0.877,,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,laminar_upgoing_hook,left,0.48,0.858,,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,laminar_upgoing_hook,left,0.48,0.839,,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,laminar_upgoing_hook,left,0.48,0.82,,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,laminar_upgoing_hook,left,0.48,0.803,,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,laminar_upgoing_hook,left,0.48,0.785,,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,laminar_upgoing_hook,left,0.48,0.759,,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,laminar_upgoing_hook,left,0.48,0.733,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,laminar_upgoing_hook,left,0.48,0.709,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,laminar_upgoing_hook,left,0.48,0.683,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,laminar_upgoing_hook,left,0.48,0.654,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,laminar_upgoing_hook,left,0.48,0.625,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,laminar_upgoing_hook,left,0.48,0.591,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,laminar_upgoing_hook,left,0.48,0.562,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,laminar_upgoing_hook,left,0.48,0.526,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,laminar_upgoing_hook,left,0.48,0.494,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,laminar_upgoing_hook,left,0.48,0.461,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,laminar_upgoing_hook,left,0.48,0.421,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,laminar_upgoing_hook,left,0.48,0.382,,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,laminar_upgoing_hook,left,0.48,0.348,,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,laminar_upgoing_hook,left,0.48,0.313,,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,laminar_upgoing_hook,left,0.48,0.28,,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,laminar_upgoing_hook,left,0.48,0.243,,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,laminar_upgoing_hook,left,0.48,0.21,,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,laminar_upgoing_hook,right,0.52,0.877,,,,,,,,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,implant,laminar_upgoing_hook,right,0.52,0.858,,,,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,implant,laminar_upgoing_hook,right,0.52,0.839,,,,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,laminar_upgoing_hook,right,0.52,0.82,,,,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,laminar_upgoing_hook,right,0.52,0.803,,,,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,laminar_upgoing_hook,right,0.52,0.785,,,,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,laminar_upgoing_hook,right,0.52,0.759,,,,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,implant,laminar_upgoing_hook,right,0.52,0.733,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,laminar_upgoing_hook,right,0.52,0.709,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,laminar_upgoing_hook,right,0.52,0.683,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,laminar_upgoing_hook,right,0.52,0.654,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,implant,laminar_upgoing_hook,right,0.52,0.625,,,,,,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,implant,laminar_upgoing_hook,right,0.52,0.591,,,,,,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,implant,laminar_upgoing_hook,right,0.52,0.562,,,,,,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,implant,laminar_upgoing_hook,right,0.52,0.526,,,,,,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,implant,laminar_upgoing_hook,right,0.52,0.494,,,,,,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,implant,laminar_upgoing_hook,right,0.52,0.461,,,,,,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,implant,laminar_upgoing_hook,right,0.52,0.421,,,,,,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,implant,laminar_upgoing_hook,right,0.52,0.382,,,,,,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,implant,laminar_upgoing_hook,right,0.52,0.348,,,,,,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,implant,laminar_upgoing_hook,right,0.52,0.313,,,,,,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,implant,laminar_upgoing_hook,right,0.52,0.28,,,,,,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,implant,laminar_upgoing_hook,right,0.52,0.243,,,,,,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,implant,laminar_upgoing_hook,right,0.52,0.21,,,,,,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,implant,lateral_mass_screw,left,0.475,0.88,0.5,0.75,75,,,,,,,,,,,,0.88,,,,,,,,,,
C3,3,posterior,implant,lateral_mass_screw,left,0.481,0.847,0.5,0.75,120,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,lateral_mass_screw,left,0.481,0.828,0.5,0.75,120,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,lateral_mass_screw,left,0.481,0.81,0.5,0.75,120,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,lateral_mass_screw,left,0.482,0.793,0.5,0.75,120,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,lateral_mass_screw,left,0.482,0.775,0.5,0.75,120,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
C1,1,posterior,implant,lateral_mass_screw,right,0.525,0.88,0.5,0.75,75,,,,,,,,,,,,0.88,,,,,,,,,,
C3,3,posterior,implant,lateral_mass_screw,right,0.519,0.847,0.5,0.75,120,,,,,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,implant,lateral_mass_screw,right,0.519,0.828,0.5,0.75,120,,,,,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,implant,lateral_mass_screw,right,0.519,0.81,0.5,0.75,120,,,,,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,implant,lateral_mass_screw,right,0.518,0.793,0.5,0.75,120,,,,,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,implant,lateral_mass_screw,right,0.518,0.775,0.5,0.75,120,,,,,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
Occiput,0,posterior,implant,occipital_screw,left,0.499,0.905,0.5,0.75,90,,,,,,,,,,,,0.915,,,,,,,,,,
Occiput,0,posterior,implant,occipital_screw,right,0.501,0.915,0.5,0.75,90,,,,,,,,,,,,0.915,,,,,,,,,,
C2,2,posterior,implant,pars_screw,left,0.481,0.863,0.5,0.75,70,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C2,2,posterior,implant,pars_screw,right,0.519,0.863,0.5,0.75,70,,,,,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
T1,8,posterior,implant,pedicle_hook,left,0.475,0.754,,,,,,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,implant,pedicle_hook,left,0.475,0.73,,,,,,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,implant,pedicle_hook,left,0.475,0.709,,,,,,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,implant,pedicle_hook,left,0.475,0.679,,,,,,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
