level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y
l1-l2,,decompression,diskectomy,left,0.491,0.3505,,0.006,,,0.488,0.352,0.494,0.349
l2-l3,,decompression,diskectomy,left,0.491,0.316,,0.006,,,0.488,0.317,0.494,0.315
l3-l4,,decompression,diskectomy,left,0.491,0.279,,0.006,,,0.488,0.284,0.494,0.274
l4-l5,,decompression,diskectomy,left,0.4895,0.2425,,0.009,,,0.485,0.247,0.494,0.238
l5-s1,,decompression,diskectomy,left,0.487,0.206,,0.014,,,0.48,0.214,0.494,0.198
c1-c2,,decompression,diskectomy,right,0.509,0.876,,0.006,,,0.506,0.879,0.512,0.873
c2-c3,,decompression,diskectomy,right,0.509,0.857,,0.006,,,0.506,0.861,0.512,0.853
c3-c4,,decompression,diskectomy,right,0.509,0.8385,,0.006,,,0.506,0.842,0.512,0.835
c4-c5,,decompression,diskectomy,right,0.509,0.819,,0.006,,,0.506,0.822,0.512,0.816
c5-c6,,decompression,diskectomy,right,0.509,0.8005,,0.006,,,0.506,0.804,0.512,0.797
c6-c7,,decompression,diskectomy,right,0.509,0.7825,,0.006,,,0.506,0.786,0.512,0.779
c7-t1,,decompression,diskectomy,right,0.509,0.7595,,0.006,,,0.506,0.763,0.512,0.756
t1-t2,,decompression,diskectomy,right,0.509,0.7345,,0.006,,,0.506,0.737,0.512,0.732
t2-t3,,decompression,diskectomy,right,0.509,0.7115,,0.006,,,0.506,0.713,0.512,0.71
t3-t4,,decompression,diskectomy,right,0.509,0.6845,,0.006,,,0.506,0.687,0.512,0.682
t4-t5,,decompression,diskectomy,right,0.509,0.6575,,0.006,,,0.506,0.658,0.512,0.657
t5-t6,,decompression,diskectomy,right,0.509,0.6265,,0.006,,,0.506,0.629,0.512,0.624
t6-t7,,decompression,diskectomy,right,0.509,0.593,,0.006,,,0.506,0.595,0.512,0.591
t7-t8,,decompression,diskectomy,right,0.509,0.5635,,0.006,,,0.506,0.566,0.512,0.561
t8-t9,,decompression,diskectomy,right,0.509,0.529,,0.006,,,0.506,0.53,0.512,0.528
t9-t10,,decompression,diskectomy,right,0.509,0.497,,0.006,,,0.506,0.498,0.512,0.496
t10-t11,,decompression,diskectomy,right,0.509,0.464,,0.006,,,0.506,0.465,0.512,0.463
t11-t12,,decompression,diskectomy,right,0.509,0.425,,0.006,,,0.506,0.425,0.512,0.425
t12-l1,,decompression,diskectomy,right,0.509,0.3845,,0.006,,,0.506,0.386,0.512,0.383
l1-l2,,decompression,diskectomy,right,0.509,0.3505,,0.006,,,0.506,0.352,0.512,0.349
l2-l3,,decompression,diskectomy,right,0.509,0.316,,0.006,,,0.506,0.317,0.512,0.315
l3-l4,,decompression,diskectomy,right,0.509,0.279,,0.006,,,0.506,0.284,0.512,0.274
l4-l5,,decompression,diskectomy,right,0.5105,0.2425,,0.009,,,0.506,0.247,0.515,0.238
l5-s1,,decompression,diskectomy,right,0.513,0.206,,0.014,,,0.506,0.214,0.52,0.198
